,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
2900,2,YA,7,617,20,3,354,1,Reward4,0.04,congruent,0
2901,2,YA,7,617,21,4,486,1,Reward1,0.01,congruent,1
2902,2,YA,7,617,22,3,321,1,Reward1,0.01,congruent,0
2903,2,YA,7,617,23,4,382,1,Reward2,0.02,congruent,0
2904,2,YA,7,617,24,3,433,1,Reward4,0.04,incongruent,1
2905,2,YA,7,617,25,4,546,1,Reward4,0.04,congruent,1
2906,2,YA,7,617,26,3,835,1,Reward2,0,congruent,0
2907,2,YA,7,617,27,3,369,1,Reward1,0.01,congruent,1
2908,2,YA,7,617,28,3,712,0,Reward2,0,incongruent,1
2909,2,YA,7,617,29,4,496,1,Reward2,0.02,incongruent,0
2910,2,YA,7,617,30,3,636,0,Reward1,0,incongruent,0
2911,2,YA,7,617,31,3,518,1,Reward2,0.02,congruent,1
2912,2,YA,7,617,32,3,427,1,Reward1,0.01,incongruent,1
2913,2,YA,7,617,33,3,376,1,Reward4,0.04,congruent,0
2914,2,YA,7,617,34,4,444,1,Reward2,0.02,congruent,1
2915,2,YA,7,617,35,4,533,1,Reward4,0.04,incongruent,1
2916,2,YA,7,617,36,3,754,1,Reward4,0,congruent,1
2917,2,YA,7,617,37,3,455,1,Reward4,0.04,incongruent,1
2918,2,YA,7,617,38,3,437,1,Reward2,0.02,incongruent,0
2919,2,YA,7,617,39,3,361,1,Reward1,0.01,incongruent,0
2920,2,YA,7,617,40,3,383,1,Reward4,0.04,incongruent,0
2921,2,YA,7,617,41,3,801,0,Reward4,0,congruent,1
2922,2,YA,7,617,42,4,369,1,Reward1,0.01,congruent,1
2923,2,YA,7,617,43,4,470,1,Reward1,0.01,congruent,0
2924,2,YA,7,617,44,4,455,1,Reward1,0.01,incongruent,1
2925,2,YA,7,617,45,3,480,1,Reward2,0.02,incongruent,0
2926,2,YA,7,617,46,3,434,0,Reward4,0,congruent,0
2927,2,YA,7,617,47,3,371,1,Reward4,0.04,incongruent,0
2928,2,YA,7,617,48,3,739,0,Reward1,0,incongruent,1
2929,2,YA,7,617,49,4,486,1,Reward4,0.04,congruent,0
2930,2,YA,7,617,50,3,401,1,Reward4,0.04,incongruent,1
2931,2,YA,7,617,51,3,787,1,Reward2,0,incongruent,1
2932,2,YA,7,617,52,3,420,1,Reward2,0.02,incongruent,0
2933,2,YA,7,617,53,4,598,1,Reward1,0.01,incongruent,1
2934,2,YA,7,617,54,4,397,1,Reward4,0.04,incongruent,1
2935,2,YA,7,617,55,3,336,1,Reward2,0.02,congruent,1
2936,2,YA,7,617,56,3,365,1,Reward4,0.04,congruent,1
2937,2,YA,7,617,57,4,509,1,Reward1,0.01,congruent,0
2938,2,YA,7,617,58,3,1070,0,Reward4,0,incongruent,1
2939,2,YA,7,617,59,3,395,1,Reward2,0.02,congruent,1
2940,2,YA,7,617,60,3,406,1,Reward2,0.02,incongruent,1
2941,2,YA,7,617,61,4,391,1,Reward2,0.02,incongruent,1
2942,2,YA,7,617,62,3,474,1,Reward2,0.02,congruent,0
2943,2,YA,7,617,63,4,967,1,Reward1,0,incongruent,0
2944,2,YA,7,617,64,3,364,1,Reward1,0.01,incongruent,1
2945,2,YA,7,617,65,3,505,1,Reward4,0.04,incongruent,1
2946,2,YA,7,617,66,3,310,1,Reward1,0.01,incongruent,1
